course,prof,gpa,% of A,% of B,section_,semester
ARTS 210,VIGUS G,3.463,59%,34%,700,2018 Fall
ARTS 212,LISONBEE L,3.187,25%,69%,501,2018 Fall
ARTS 212,WOODFIN S,3.461,54%,38%,502,2018 Fall
ARTS 212,WOODFIN S,3.473,53%,42%,503,2018 Fall
ARTS 212,LISONBEE L,2.857,43%,24%,504,2018 Fall
ARTS 303,BRAMAN G,3.050,30%,45%,501,2018 Fall
ARTS 303,HONEYCUTT A,3.583,75%,17%,502,2018 Fall
ARTS 303,HONEYCUTT A,3.526,58%,37%,503,2018 Fall
ARTS 304,BRAMAN G,3.125,50%,38%,500,2018 Fall
ARTS 304,HONEYCUTT A,3.217,35%,52%,502,2018 Fall
ARTS 305,HOUSE F,3.590,59%,41%,501,2018 Fall
ARTS 305,LISONBEE L,2.636,27%,23%,502,2018 Fall
ARTS 312,EILERS H,3.875,88%,12%,500,2018 Fall
ARTS 325,BOLOGAN A,3.470,53%,41%,501,2018 Fall
ARTS 325,KAWAR S,3.473,53%,42%,503,2018 Fall
ARTS 335,STOENESCU L,3.500,79%,8%,500,2018 Fall
ARTS 349,LEIDERMAN D,3.580,65%,32%,501,2018 Fall
ARTS 349,LEIDERMAN D,3.339,60%,26%,502,2018 Fall
ARTS 349,ZAWADZKI M,3.562,62%,33%,700,2018 Fall
ARTS 353,DAVISON R,2.923,31%,31%,500,2018 Fall
VIST 105,FINCH K,3.500,50%,50%,501,2018 Fall
VIST 105,COOK M,3.285,50%,36%,502,2018 Fall
VIST 105,WOODFIN S,3.222,39%,56%,503,2018 Fall
VIST 105,BOUJNIKH A,3.050,25%,65%,504,2018 Fall
VIST 105,FINCH K,3.500,56%,39%,505,2018 Fall
VIST 105,ROBERT K,3.350,40%,55%,506,2018 Fall
VIST 105,LABADESSA S,2.642,21%,29%,507,2018 Fall
VIST 131,MCLAUGHLIN T,3.731,82%,14%,500,2018 Fall
VIST 201,GALANTER P,3.032,16%,74%,900,2018 Fall
VIST 205,RAMADAN H,3.720,80%,16%,501,2018 Fall
VIST 205,BOLOGAN A,3.304,52%,39%,502,2018 Fall
VIST 205,ANDREASSON M,3.450,50%,45%,503,2018 Fall
VIST 206,LINDIG N,3.166,21%,75%,501,2018 Fall
VIST 206,GALANTER P,3.666,67%,33%,502,2018 Fall
VIST 206,GOSWAMI S,3.857,86%,14%,503,2018 Fall
VIST 270,RINGHAM M,3.250,45%,35%,501,2018 Fall
VIST 270,RINGHAM M,3.105,58%,16%,502,2018 Fall
VIST 270,RINGHAM M,2.888,28%,39%,503,2018 Fall
VIST 270,RINGHAM M,2.900,30%,30%,504,2018 Fall
VIST 270,RINGHAM M,3.071,36%,43%,505,2018 Fall
VIST 271,QUEK F,3.705,71%,29%,501,2018 Fall
VIST 271,QUEK F,3.812,81%,19%,502,2018 Fall
VIST 284,CHEEK C,3.166,54%,25%,501,2018 Fall
VIST 284,SUNGKAJUN A,3.520,52%,48%,502,2018 Fall
VIST 284,SUNGKAJUN A,3.689,79%,17%,503,2018 Fall
VIST 284,SUNGKAJUN A,3.857,86%,14%,504,2018 Fall
VIST 284,CURRIE B,3.600,80%,10%,505,2018 Fall
VIST 284,CURRIE B,3.846,88%,8%,506,2018 Fall
VIST 284,GRIER K,3.312,62%,25%,507,2018 Fall
VIST 284,GRIER K,3.466,73%,13%,508,2018 Fall
VIST 284,CHEEK C,3.615,73%,23%,509,2018 Fall
VIST 284,BOUJNIKH A,3.142,57%,14%,512,2018 Fall
VIST 284,CURRIE B,3.777,78%,22%,513,2018 Fall
VIST 284,JENKS M,3.500,60%,30%,514,2018 Fall
VIST 284,BOLOGAN A,2.692,13%,49%,700,2018 Fall
VIST 284,BUTCHER M,3.410,56%,38%,702,2018 Fall
VIST 305,KLEIN B,3.611,61%,39%,501,2018 Fall
VIST 305,FINCH S,3.600,60%,40%,502,2018 Fall
VIST 305,THOMAS A,3.555,67%,22%,503,2018 Fall
VIST 305,KICKLIGHTER C,4.000,100%,0%,504,2018 Fall
VIST 310,VIGUS G,3.450,65%,20%,501,2018 Fall
VIST 370,SEO J,3.384,38%,62%,500,2018 Fall
VIST 372,THOMAS A,2.888,17%,56%,500,2018 Fall
VIST 375,JENKS M,3.763,79%,18%,900,2018 Fall
VIST 405,KLEIN B,3.285,38%,52%,501,2018 Fall
VIST 405,FINCH S,4.000,100%,0%,502,2018 Fall
VIST 405,THOMAS A,3.857,93%,0%,503,2018 Fall
